Fournisseur;Actif;id;CB;UPC;Produit;Réference;Categorie;Prix Achat;Prix Vente;Unité de Vente;Quantité à la vente;
"Echange Paysan 05 - C&E";"Oui";"1347";"3416604203001";"";"Vin Domaine de la Grande Hauche Rosé Bib 3l Bio";"SA-RO-UUN-NN-P";"Boissons";"14.76";"18.45";"";"6";
"Echange Paysan 05 - C&E";"Oui";"1374";"3456570000129";"";"Yaourt fermier aux arômes naturels de vanille 125G  à l'unité. Echange Paysans";"CR-RO-UUN-NN";"Fromages et Crèmerie";"0.40";"0.55";"";"4";
"Echange Paysan 05 - C&E";"Oui";"1528";"3456570000235";"";"Yaourt Bi-couche Crème de Châtaignes 125G  à l'unité. Nouveau Echange Paysans";"CR-RO-UUN-NN";"Fromages et Crèmerie";"0.44";"0.60";"";"16";
"Echange Paysan 05 - C&E";"Oui";"1572";"3456570000082";"";"Tomme de la blanche affinée au lait cru 130G pré emballé Echanges Paysans";"CR-RO-UUN-NN";"Fromages et Crèmerie";"1.54";"2.05";"";"1";
"Echange Paysan 05 - C&E";"Oui";"1610";"";"";"Bière La Sorcière Blonde 5° bouteille 75cl Bio";"SA-SI-UUN-NN-P";"Boissons";"4.52";"5.65";"";"7";
"Echange Paysan 05 - C&E";"Oui";"1690";"";"";"Taillon  250 g environ au lait cru  Echanges Paysans payé au poids";"CR-RO-KQN-NO";"Fromages et Crèmerie";"3.20";"4.45";"";"5";
"Echange Paysan 05 - C&E";"Oui";"1734";"";"";"Jus  Poire Coing 1L  Echange paysans";"DJ-RO-UUN-NN-P";"Jus de fruits";"2.37";"3.00";"Litre";"5";
"Echange Paysan 05 - C&E";"Oui";"1746";"";"";"Yaourt nature bio 500g pot en verre. Echange Paysans";"CR-RO-UUN-NN";"Fromages et Crèmerie";"2.36";"3.00";"";"1";
"Echange Paysan 05 - C&E";"Oui";"1804";"";"";"Saucisson aux Noisettes – Le noisetier 200 g environ Echanges Paysans";"PC-RO-UUN-NN";"Viandes et Poissons";"3.02";"3.80";"";"8";
"Echange Paysan 05 - C&E";"Oui";"1805";"2449852000000";"";"Saucisson aux Noix  Le gourmand 200 g environ Echanges Paysans";"PC-RO-UUN-NN";"Viandes et Poissons";"3.02";"3.80";"";"8";
"Echange Paysan 05 - C&E";"Oui";"1836";"";"";"Buchette affinée 230g g Bio Echanges Paysans";"CR-RO-UUN-NN";"Fromages et Crèmerie";"3.43";"4.60";"";"0";
"Echange Paysan 05 - C&E";"Oui";"1837";"";"";"Saucisson Le fermier Alpin 250 g environ Echanges Paysans";"PC-RO-UUN-NN";"Viandes et Poissons";"3.02";"3.80";"";"6";
"Echange Paysan 05 - C&E";"Oui";"1838";"3770014850065";"";"Jus de pomme  raisin 1L  Echange paysans";"DJ-RO-UUN-NN-P";"Jus de fruits";"2.38";"3.10";"Litre";"3";
"Echange Paysan 05 - C&E";"Oui";"1839";"";"";"Tome Fleurie de brebis . Portion de 200 G environ  Echange Paysan";"CR-RO-PQN-OO-S";"Fromages et Crèmerie";"3.62";"4.50";"";"11";
"Echange Paysan 05 - C&E";"Oui";"1851";"";"";"Coulis de Ketchup Bio 59 cl Echange paysans";"SC-RO-UUN-NN-P";"Epicerie salée";"3.15";"3.95";"Litre";"6";
"Echange Paysan 05 - C&E";"Non";"1305";"";"";"Faisselles 100 g 40 % à l'unité Echange Paysans";"CR-RO-UUN-NN";"Fromages et Crèmerie";"0.50";"0.65";"";"0";
"Echange Paysan 05 - C&E";"Non";"1307";"3456570000204";"";"Crème dessert café  125 G  à l'unité. Echange Paysans";"CR-RO-UUN-NN";"Fromages et Crèmerie";"0.45";"0.60";"";"6";
"Echange Paysan 05 - C&E";"Non";"1308";"3456570000181";"";"Crème dessert chocolat 125 g à l'unité. Echange Paysans";"CR-RO-UUN-NN";"Fromages et Crèmerie";"0.45";"0.60";"";"-3";
"Echange Paysan 05 - C&E";"Non";"1309";"";"";"Yaourt aromatisé caramel au lait entier  125 G  à l'unité. Echange Paysans";"CR-RO-UUN-NN";"Fromages et Crèmerie";"0.37";"0.55";"";"0";
"Echange Paysan 05 - C&E";"Non";"1310";"3456570000228";"";"Yaourt bi-couche framboise  125 G à l'unité. Echange Paysans";"CR-RO-UUN-NN";"Fromages et Crèmerie";"0.44";"0.60";"";"0";
"Echange Paysan 05 - C&E";"Non";"1311";"";"";"Tome Capritte au lait de chèvre. Portion de 200 G environ  Echange Paysan";"CR-RO-PCN-OOS";"Fromages et Crèmerie";"3.22";"4.00";"";"-1";
"Echange Paysan 05 - C&E";"Non";"1316";"";"";"Jus de pomme  cerise 1L  Echange paysans";"DJ-RO-UUN-NN-P";"Jus de fruits";"2.38";"3.10";"Litre";"0";
"Echange Paysan 05 - C&E";"Non";"1341";"";"";"Faisselle de Vache au lait cru pot individuel 125 g Bio Echanges Paysans";"CR-RO-UUN-NN";"Fromages et Crèmerie";"0.64";"0.85";"";"0";
