id_product;name;reference;ean13;price;wholesale_price;active;supp;sav_quantity;badge_danger;
"1931";"Bière La Sorcière Ambrée 5° bouteille 75cl Bio";"SA-SI-UUN-NN-P";"";"5.650000";"4.520000";"1";"Echange Paysan 05 - C&E";"0";"1";
"1932";"Velouté de courgettes 73 cl GAEC Noble - Échange paysans";"SC-RO-UUN-NN-P";"";"3.950000";"3.150000";"1";"Echange Paysan 05 - C&E";"3";"0";
"1933";"Velouté de Tomates 73cl  GAEC Noble -Echange paysans";"SC-RO-UUN-NN-P";"";"3.950000";"3.150000";"0";"Echange Paysan 05 - C&E";"0";"1";
"1934";"Yaourt Bi-couche framboise  125G  à l'unité. Nouveau Echange Paysans";"CR-RO-UUN-NN";"";"0.600000";"0.440000";"1";"Echange Paysan 05 - C&E";"0";"1";
"1935";"Yaourt Bi-couche fruits des bois 125G  à l'unité. Nouveau Echange Paysans";"CR-RO-UUN-NN";"";"0.600000";"0.440000";"1";"Echange Paysan 05 - C&E";"2";"0";
"1936";"Yaourt Bi-couche Abricot 125G  à l'unité. Nouveau Echange Paysans";"CR-RO-UUN-NN";"";"0.600000";"0.440000";"0";"Echange Paysan 05 - C&E";"0";"1";
"1937";"Lait UHT écrémé  1L  Biogam";"DR-RO-UUN-NN";"";"2.100000";"1.580000";"0";"NaturDis_A";"6";"0";
"1938";"Pamplemousses Jaunes BIO (au kg)";"FA-MN-KUN-NO-P";"";"2.800000";"2.080000";"0";"NaturDis_M";"0";"1";
"1939";"Erreur de paiement";"ZZZ";"";"0.000000";"0.000000";"1";"";"983";"0";
"1940";"Wrap Small en cire d'abeille 20x20cm";"MX-RN-UUN-NN";"";"4.350000";"3.480000";"1";"L'Abeille qui Emballe";"2";"0";
"1941";"Wrap Medium en cire d'abeille 28x25.5cm";"MX-RN-UUN-NN";"";"6.000000";"4.800000";"1";"L'Abeille qui Emballe";"0";"1";
"1942";"Brosse à Dents Bambou Adulte Tête souple bleu amovible";"BX-RO-UUN-NN-P";"";"4.400000";"3.500000";"1";"The Green Smile";"5";"0";
"1943";"Brosse à Dents Bambou Adulte - Tête Médium corail amovible";"BX-RO-UUN-NN-P";"";"4.400000";"3.500000";"1";"The Green Smile";"2";"0";
"1944";"Brosse à Dents Bambou Adulte - Tête Médium noire au charbon actif amovible";"BX-RO-UUN-NN-P";"";"4.400000";"3.500000";"1";"The Green Smile";"5";"0";
"1945";"Tête recharge  brosse à dents  Adulte medium  noire au charbon actif";"BX-RO-UUN-NN-P";"";"1.900000";"1.500000";"0";"The Green Smile";"0";"1";
"1946";"Tête recharge  brosse à dents  Adulte souple bleu";"BX-RO-UUN-NN-P";"";"1.900000";"1.500000";"0";"The Green Smile";"0";"1";
"1947";"Tête recharge  brosse à dents  Adulte medium blanche";"BX-RO-UUN-NN-P";"";"1.900000";"1.500000";"0";"The Green Smile";"0";"1";
"1948";"Tête recharge  brosse à dents  Adulte medium Corail";"BX-RO-UUN-NN-P";"";"1.900000";"1.500000";"1";"The Green Smile";"3";"0";
"1949";"Courge potiron Bio de France (vendu au kg)";"LF-MV-KUN-NO";"";"2.050000";"1.550000";"0";"NaturDis_M";"0";"1";
"1950";"Navet violets BIO de France (au 500g)";"LR-MO-KMN-NO";"";"1.150000";"0.900000";"0";"NaturDis_M";"964";"0";
"1951";"Pommes Chanteclerc bio de France distribuées par Naturdis";"FP-MO-KUN-NO-P";"";"2.800000";"2.260000";"0";"NaturDis_M";"1";"0";
"1952";"Sachet d'orangette au chocolat noir 100g  (DLC 1an) Duplanteur";"DC-RO-UUN-NN-P";"";"8.900000";"8.000000";"1";"Maison Duplanteur";"4";"0";
"1953";"Sachet de citronettes au chocolat au lait  100 g (DLC 1an) Duplanteur";"DC-RO-UUN-NN-P";"";"8.900000";"8.000000";"1";"Maison Duplanteur";"2";"0";
"1954";"Sachet de Mendiants en chocolat noir Sierra Leone 69% 150 g (DLC 1an) Duplanteur";"DC-RO-UUN-NN-P";"";"14.700000";"13.200000";"0";"Maison Duplanteur";"0";"1";
"1955";"Chevre coeur gourmand figue  80g";"CR-RO-UUN-NN";"";"3.550000";"2.840000";"0";"NaturDis_A";"999";"0";
"1956";"Brebis Perail 150g";"CR-RO-UUN-NN";"3760013200077";"4.100000";"3.270000";"1";"NaturDis_A";"1";"0";
"1957";"Marron au naturel 430g Verfeuille";"DD-RO-UUN-NN-P";"3527860004452";"9.000000";"7.270000";"1";"NaturDis_A";"3";"0";
"1958";"Marron au naturel 240g Verfeuille";"DD-RO-UUN-NN-P";"3527860004483";"6.350000";"5.060000";"0";"NaturDis_A";"999";"0";
"1959";"Cassoulet Landais au confit   bocal 750 g Maison Besse";"SC-RO-UUN-NN-P";"";"9.150000";"7.300000";"0";"Mademoisellle  envoie du Paté";"0";"1";
